#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,End of File
60,03/29/2022 13:16:58,22.27,47.58,10.62,,
61,03/29/2022 13:21:58,22.37,52.82,12.29,,
62,03/29/2022 13:26:58,22.34,48.59,11.00,,
63,03/29/2022 13:31:58,22.58,48.59,11.22,,
64,03/29/2022 13:36:58,22.50,46.05,10.34,,
65,03/29/2022 13:41:58,22.67,46.64,10.69,,
66,03/29/2022 13:46:58,23.05,47.19,11.20,,
67,03/29/2022 13:51:58,23.00,46.25,10.86,,
68,03/29/2022 13:56:58,23.29,46.53,11.22,,
69,03/29/2022 14:01:58,23.51,46.08,11.26,,
70,03/29/2022 14:06:58,23.81,46.52,11.68,,
71,03/29/2022 14:11:58,23.74,44.51,10.95,,
72,03/29/2022 14:16:58,23.97,47.83,12.25,,
73,03/29/2022 14:21:58,24.03,47.94,12.34,,
74,03/29/2022 14:26:58,23.94,44.93,11.27,,
75,03/29/2022 14:31:58,23.79,47.94,12.12,,
76,03/29/2022 14:36:58,23.81,48.86,12.43,,
77,03/29/2022 14:41:58,23.34,51.11,12.68,,
78,03/29/2022 14:46:58,23.22,51.68,12.74,,
79,03/29/2022 14:51:58,23.07,51.48,12.54,,
80,03/29/2022 14:56:58,23.10,49.46,11.96,,
81,03/29/2022 15:01:58,23.03,50.59,12.25,,
82,03/29/2022 15:06:58,23.37,50.84,12.63,,
83,03/29/2022 15:11:58,23.68,47.62,11.92,,
84,03/29/2022 15:16:58,23.60,49.73,12.51,,
85,03/29/2022 15:21:58,23.42,49.84,12.37,,
86,03/29/2022 15:26:58,23.46,47.86,11.80,,
87,03/29/2022 15:31:58,23.41,50.20,12.47,,
88,03/29/2022 15:36:58,23.45,51.83,13.00,,
89,03/29/2022 15:41:58,23.20,48.11,11.63,,
90,03/29/2022 15:46:58,23.71,49.90,12.66,,
91,03/29/2022 15:51:58,23.59,49.86,12.54,,
92,03/29/2022 15:56:58,23.73,49.46,12.54,,
93,03/29/2022 16:01:58,23.70,49.32,12.47,,
94,03/29/2022 16:06:58,23.85,48.92,12.48,,
95,03/29/2022 16:11:58,23.68,48.57,12.22,,
96,03/29/2022 16:16:58,23.36,48.64,11.95,,
97,03/29/2022 16:21:58,23.43,49.86,12.39,,
98,03/29/2022 16:26:58,23.76,49.67,12.64,,
99,03/29/2022 16:31:58,23.25,50.53,12.43,,
100,03/29/2022 16:36:58,23.16,50.72,12.41,,
101,03/29/2022 16:41:58,23.09,50.60,12.30,,
102,03/29/2022 16:46:58,22.27,52.55,12.12,,
103,03/29/2022 16:51:58,22.41,53.17,12.43,,
104,03/29/2022 16:56:58,22.56,54.03,12.81,,
105,03/29/2022 17:01:58,22.41,54.13,12.70,,
106,03/29/2022 17:06:58,22.23,54.12,12.53,,
107,03/29/2022 17:11:58,22.26,54.57,12.69,,
108,03/29/2022 17:16:58,22.29,54.26,12.63,,
109,03/29/2022 17:21:58,22.10,55.57,12.82,,
110,03/29/2022 17:26:58,21.82,55.85,12.63,,
111,03/29/2022 17:31:58,21.98,55.56,12.70,,
112,03/29/2022 17:36:58,22.17,55.80,12.94,,
113,03/29/2022 17:41:58,22.16,54.45,12.55,,
114,03/29/2022 17:46:58,22.08,54.45,12.49,,
115,03/29/2022 17:51:58,22.10,56.45,13.06,,
116,03/29/2022 17:56:58,22.01,56.44,12.96,,
117,03/29/2022 18:01:58,22.09,55.23,12.71,,
118,03/29/2022 18:06:58,21.78,56.62,12.80,,
119,03/29/2022 18:11:58,21.22,56.39,12.22,,
120,03/29/2022 18:16:58,20.72,57.90,12.15,,
121,03/29/2022 18:21:58,20.41,58.64,12.05,,
122,03/29/2022 18:26:58,20.18,58.31,11.76,,
123,03/29/2022 18:31:58,19.73,59.38,11.61,,
124,03/29/2022 18:36:58,19.32,60.95,11.62,,
125,03/29/2022 18:41:58,19.01,62.01,11.59,,
126,03/29/2022 18:46:58,18.61,63.59,11.58,,
127,03/29/2022 18:51:58,18.28,63.16,11.18,,
128,03/29/2022 18:56:58,17.91,63.72,10.95,,
129,03/29/2022 19:01:58,17.65,64.74,10.95,,
130,03/29/2022 19:06:58,17.31,65.45,10.79,,
131,03/29/2022 19:11:58,17.03,66.18,10.69,,
132,03/29/2022 19:16:58,16.76,66.79,10.57,,
133,03/29/2022 19:21:58,16.57,67.90,10.63,,
134,03/29/2022 19:26:58,16.32,68.62,10.56,,
135,03/29/2022 19:31:58,16.17,69.23,10.55,,
136,03/29/2022 19:36:58,15.99,69.90,10.52,,
137,03/29/2022 19:41:58,15.86,70.41,10.50,,
138,03/29/2022 19:46:58,15.71,70.58,10.39,,
139,03/29/2022 19:51:58,15.57,71.10,10.37,,
140,03/29/2022 19:56:58,15.44,71.59,10.35,,
141,03/29/2022 20:01:58,15.28,72.16,10.31,,
142,03/29/2022 20:06:58,15.16,72.44,10.26,,
143,03/29/2022 20:11:58,15.08,72.53,10.19,,
144,03/29/2022 20:16:58,14.98,72.63,10.12,,
145,03/29/2022 20:21:58,14.84,72.93,10.05,,
146,03/29/2022 20:26:58,14.78,73.31,10.06,,
147,03/29/2022 20:31:58,14.67,73.51,10.00,,
148,03/29/2022 20:36:58,14.56,73.21,9.84,,
149,03/29/2022 20:41:58,14.44,73.88,9.86,,
150,03/29/2022 20:46:58,14.37,73.62,9.73,,
151,03/29/2022 20:51:58,14.30,73.93,9.73,,
152,03/29/2022 20:56:58,14.19,73.76,9.59,,
153,03/29/2022 21:01:58,14.07,74.11,9.54,,
154,03/29/2022 21:06:58,14.01,73.89,9.45,,
155,03/29/2022 21:11:58,13.93,73.84,9.35,,
156,03/29/2022 21:16:58,13.84,74.03,9.31,,
157,03/29/2022 21:21:58,13.73,74.51,9.29,,
158,03/29/2022 21:26:58,13.67,74.99,9.33,,
159,03/29/2022 21:31:58,13.52,75.45,9.28,,
160,03/29/2022 21:36:58,13.49,75.68,9.29,,
161,03/29/2022 21:41:58,13.40,75.94,9.26,,
162,03/29/2022 21:46:58,13.35,75.82,9.19,,
163,03/29/2022 21:51:58,13.23,76.43,9.19,,
164,03/29/2022 21:56:58,13.14,76.54,9.12,,
165,03/29/2022 22:01:58,13.05,77.03,9.13,,
166,03/29/2022 22:06:58,13.00,76.95,9.06,,
167,03/29/2022 22:11:58,12.85,76.91,8.91,,
168,03/29/2022 22:16:58,12.79,77.46,8.96,,
169,03/29/2022 22:21:58,12.72,77.63,8.92,,
170,03/29/2022 22:26:58,12.65,77.59,8.85,,
171,03/29/2022 22:31:58,12.57,77.89,8.83,,
172,03/29/2022 22:36:58,12.51,78.08,8.81,,
173,03/29/2022 22:41:58,12.42,78.47,8.79,,
174,03/29/2022 22:46:58,12.29,79.07,8.78,,
175,03/29/2022 22:51:58,12.15,79.59,8.74,,
176,03/29/2022 22:56:58,12.02,79.82,8.66,,
177,03/29/2022 23:01:58,11.90,80.41,8.65,,
178,03/29/2022 23:06:58,11.84,80.79,8.66,,
179,03/29/2022 23:11:58,11.74,81.21,8.64,,
180,03/29/2022 23:16:58,11.69,81.31,8.61,,
181,03/29/2022 23:21:58,11.56,81.47,8.51,,
182,03/29/2022 23:26:58,11.49,81.61,8.47,,
183,03/29/2022 23:31:58,11.43,81.36,8.36,,
184,03/29/2022 23:36:58,11.34,81.72,8.34,,
185,03/29/2022 23:41:58,11.30,81.89,8.33,,
186,03/29/2022 23:46:58,11.19,82.10,8.26,,
187,03/29/2022 23:51:58,11.16,82.32,8.27,,
188,03/29/2022 23:56:58,11.04,82.69,8.22,,
189,03/30/2022 00:01:58,10.90,82.99,8.14,,
190,03/30/2022 00:06:58,10.86,83.20,8.14,,
191,03/30/2022 00:11:58,10.87,83.20,8.15,,
192,03/30/2022 00:16:58,10.82,83.27,8.11,,
193,03/30/2022 00:21:58,10.75,83.66,8.11,,
194,03/30/2022 00:26:58,10.78,83.37,8.08,,
195,03/30/2022 00:31:58,10.75,83.65,8.11,,
196,03/30/2022 00:36:58,10.73,83.61,8.08,,
197,03/30/2022 00:41:58,10.69,83.76,8.07,,
198,03/30/2022 00:46:58,10.64,83.83,8.03,,
199,03/30/2022 00:51:58,10.59,83.99,8.01,,
200,03/30/2022 00:56:58,10.58,84.21,8.04,,
201,03/30/2022 01:01:58,10.55,84.39,8.04,,
202,03/30/2022 01:06:58,10.48,84.44,7.98,,
203,03/30/2022 01:11:58,10.44,84.56,7.97,,
204,03/30/2022 01:16:58,10.39,84.97,7.98,,
205,03/30/2022 01:21:58,10.39,85.10,8.01,,
206,03/30/2022 01:26:58,10.39,84.95,7.98,,
207,03/30/2022 01:31:58,10.34,84.99,7.93,,
208,03/30/2022 01:36:58,10.25,85.39,7.92,,
209,03/30/2022 01:41:58,10.24,85.23,7.88,,
210,03/30/2022 01:46:58,10.18,85.60,7.88,,
211,03/30/2022 01:51:58,10.13,85.73,7.86,,
212,03/30/2022 01:56:58,10.09,86.16,7.89,,
213,03/30/2022 02:01:58,10.07,86.05,7.85,,
214,03/30/2022 02:06:58,10.01,86.39,7.86,,
215,03/30/2022 02:11:58,9.97,86.21,7.79,,
216,03/30/2022 02:16:58,9.94,86.58,7.82,,
217,03/30/2022 02:21:58,9.91,86.33,7.74,,
218,03/30/2022 02:26:58,9.79,86.14,7.59,,
219,03/30/2022 02:31:58,9.69,86.52,7.56,,
220,03/30/2022 02:36:58,9.63,86.65,7.52,,
221,03/30/2022 02:41:58,9.59,87.06,7.55,,
222,03/30/2022 02:46:58,9.49,87.02,7.45,,
223,03/30/2022 02:51:58,9.47,87.51,7.51,,
224,03/30/2022 02:56:58,9.47,88.04,7.60,,
225,03/30/2022 03:01:58,9.45,87.92,7.56,,
226,03/30/2022 03:06:58,9.40,88.43,7.60,,
227,03/30/2022 03:11:58,9.42,88.59,7.65,,
228,03/30/2022 03:16:58,9.41,88.17,7.56,,
229,03/30/2022 03:21:58,9.46,88.17,7.61,,
230,03/30/2022 03:26:58,9.46,88.08,7.59,,
231,03/30/2022 03:31:58,9.52,88.36,7.70,,
232,03/30/2022 03:36:58,9.48,88.12,7.62,,
233,03/30/2022 03:41:58,9.45,88.16,7.59,,
234,03/30/2022 03:46:58,9.39,87.84,7.49,,
235,03/30/2022 03:51:58,9.41,88.39,7.60,,
236,03/30/2022 03:56:58,9.40,88.13,7.55,,
237,03/30/2022 04:01:58,9.39,88.01,7.52,,
238,03/30/2022 04:06:58,9.35,88.15,7.50,,
239,03/30/2022 04:11:58,9.36,87.77,7.45,,
240,03/30/2022 04:16:58,9.33,88.35,7.51,,
241,03/30/2022 04:21:58,9.32,88.57,7.54,,
242,03/30/2022 04:26:58,9.33,88.35,7.51,,
243,03/30/2022 04:31:58,9.31,88.09,7.45,,
244,03/30/2022 04:36:58,9.24,88.27,7.41,,
245,03/30/2022 04:41:58,9.22,88.37,7.41,,
246,03/30/2022 04:46:58,9.15,88.66,7.38,,
247,03/30/2022 04:51:58,9.11,88.96,7.40,,
248,03/30/2022 04:56:58,9.14,88.68,7.37,,
249,03/30/2022 05:01:58,9.08,88.63,7.31,,
250,03/30/2022 05:06:58,9.08,89.04,7.38,,
251,03/30/2022 05:11:58,9.06,88.98,7.35,,
252,03/30/2022 05:16:58,9.00,88.94,7.28,,
253,03/30/2022 05:21:58,9.00,88.70,7.24,,
254,03/30/2022 05:26:58,8.97,88.96,7.26,,
255,03/30/2022 05:31:58,8.91,89.09,7.22,,
256,03/30/2022 05:36:58,8.89,88.95,7.18,,
257,03/30/2022 05:41:58,8.86,89.35,7.21,,
258,03/30/2022 05:46:58,8.82,89.20,7.15,,
259,03/30/2022 05:51:58,8.86,89.80,7.28,,
260,03/30/2022 05:56:58,8.88,89.53,7.26,,
261,03/30/2022 06:01:58,8.86,89.29,7.20,,
262,03/30/2022 06:06:58,8.91,89.44,7.28,,
263,03/30/2022 06:11:58,8.90,89.48,7.27,,
264,03/30/2022 06:16:58,8.90,89.13,7.22,,
265,03/30/2022 06:21:58,8.85,88.88,7.12,,
266,03/30/2022 06:26:58,8.82,89.06,7.13,,
267,03/30/2022 06:31:58,8.77,89.06,7.08,,
268,03/30/2022 06:36:58,8.74,89.31,7.09,,
269,03/30/2022 06:41:58,8.74,89.39,7.10,,
270,03/30/2022 06:46:58,8.74,89.28,7.08,,
271,03/30/2022 06:51:58,8.68,89.49,7.06,,
272,03/30/2022 06:56:58,8.67,89.31,7.02,,
273,03/30/2022 07:01:58,8.67,89.53,7.06,,
274,03/30/2022 07:06:58,8.67,89.55,7.06,,
275,03/30/2022 07:11:58,8.72,89.29,7.06,,
276,03/30/2022 07:16:58,8.83,88.89,7.11,,
277,03/30/2022 07:21:58,8.98,88.48,7.19,,
278,03/30/2022 07:26:58,9.02,88.71,7.26,,
279,03/30/2022 07:31:58,9.07,88.51,7.28,,
280,03/30/2022 07:36:58,9.19,88.76,7.44,,
281,03/30/2022 07:41:58,9.46,88.60,7.68,,
282,03/30/2022 07:46:58,9.64,88.07,7.77,,
283,03/30/2022 07:51:58,9.81,87.73,7.88,,
284,03/30/2022 07:56:58,10.00,86.99,7.95,,
285,03/30/2022 08:01:58,10.28,86.34,8.11,,
286,03/30/2022 08:06:58,10.12,84.77,7.69,,
287,03/30/2022 08:11:58,9.96,85.04,7.57,,
288,03/30/2022 08:16:58,9.81,85.24,7.46,,
289,03/30/2022 08:21:58,9.90,85.75,7.63,,
290,03/30/2022 08:26:58,10.06,85.55,7.76,,
291,03/30/2022 08:31:58,9.96,86.19,7.77,,
292,03/30/2022 08:36:58,10.10,86.63,7.98,,
293,03/30/2022 08:41:58,10.20,85.84,7.94,,
294,03/30/2022 08:46:58,10.25,86.05,8.03,,
295,03/30/2022 08:51:58,10.44,85.11,8.06,,
296,03/30/2022 08:56:58,10.67,84.78,8.22,,
297,03/30/2022 09:01:58,11.11,85.02,8.70,,
298,03/30/2022 09:06:58,11.42,83.68,8.77,,
299,03/30/2022 09:11:58,11.77,82.33,8.87,,
300,03/30/2022 09:16:58,12.10,81.11,8.97,,
301,03/30/2022 09:21:58,11.97,81.54,8.92,,
302,03/30/2022 09:26:58,12.31,80.52,9.07,,
303,03/30/2022 09:31:58,12.72,79.59,9.29,,
304,03/30/2022 09:36:58,13.11,78.53,9.48,,
305,03/30/2022 09:41:58,13.20,76.61,9.19,,
306,03/30/2022 09:46:58,13.25,75.44,9.02,,
307,03/30/2022 09:51:58,13.27,77.66,9.47,,
308,03/30/2022 09:56:58,13.43,76.52,9.40,,
309,03/30/2022 10:01:58,13.45,75.55,9.23,,
310,03/30/2022 10:06:58,13.37,76.02,9.25,,
311,03/30/2022 10:11:58,13.35,76.16,9.25,,
312,03/30/2022 10:16:58,13.35,75.35,9.09,,
313,03/30/2022 10:21:58,13.64,76.48,9.60,,
314,03/30/2022 10:26:58,13.92,73.84,9.34,,
315,03/30/2022 10:31:58,14.08,73.17,9.36,,
316,03/30/2022 10:36:58,14.41,74.16,9.88,,
317,03/30/2022 10:41:58,14.53,72.20,9.60,,
318,03/30/2022 10:46:58,14.89,71.66,9.84,,
319,03/30/2022 10:51:58,15.02,70.49,9.71,,
320,03/30/2022 10:56:58,15.40,70.35,10.04,,
321,03/30/2022 11:01:58,15.80,69.29,10.20,,
322,03/30/2022 11:06:58,15.58,70.47,10.25,,
323,03/30/2022 11:11:58,15.19,70.97,9.98,,
324,03/30/2022 11:16:58,15.06,70.52,9.75,,
325,03/30/2022 11:21:58,14.97,71.15,9.80,,
326,03/30/2022 11:26:58,15.00,70.77,9.75,,
327,03/30/2022 11:31:58,14.89,72.14,9.94,,
328,03/30/2022 11:36:58,14.88,71.46,9.78,,
329,03/30/2022 11:41:58,14.94,71.69,9.89,,
330,03/30/2022 11:46:58,14.98,71.96,9.98,,
331,03/30/2022 11:51:58,15.06,71.61,9.98,,
332,03/30/2022 11:56:58,14.96,70.57,9.67,,
333,03/30/2022 12:01:58,14.87,71.40,9.76,,
334,03/30/2022 12:06:58,14.79,71.88,9.78,,
335,03/30/2022 12:11:58,14.78,71.84,9.76,,
336,03/30/2022 12:16:58,14.67,70.65,9.41,,
337,03/30/2022 12:21:58,14.65,69.83,9.21,,
338,03/30/2022 12:26:58,14.65,68.40,8.91,,
339,03/30/2022 12:31:58,14.51,69.50,9.01,,
340,03/30/2022 12:36:58,14.44,69.58,8.97,,
341,03/30/2022 12:41:58,14.45,69.28,8.91,,
342,03/30/2022 12:46:58,14.44,69.67,8.99,,
343,03/30/2022 12:51:58,14.57,68.82,8.93,,
344,03/30/2022 12:56:58,14.96,68.63,9.25,,
345,03/30/2022 13:01:58,14.86,69.16,9.28,,
346,03/30/2022 13:06:58,14.80,68.15,9.00,,
347,03/30/2022 13:11:58,14.75,67.72,8.86,,
348,03/30/2022 13:16:58,14.98,69.85,9.54,,
349,03/30/2022 13:21:58,15.19,67.16,9.16,,
350,03/30/2022 13:26:58,15.34,66.30,9.11,,
351,03/30/2022 13:31:58,15.82,67.50,9.83,,
352,03/30/2022 13:36:58,16.41,65.76,10.00,,
353,03/30/2022 13:41:58,16.36,64.14,9.59,,
354,03/30/2022 13:46:58,16.81,63.10,9.77,,
355,03/30/2022 13:51:58,17.05,63.49,10.09,,
356,03/30/2022 13:56:58,17.64,61.26,10.11,,
357,03/30/2022 14:01:58,17.52,59.84,9.65,,
358,03/30/2022 14:06:58,17.58,60.68,9.91,,
359,03/30/2022 14:11:58,17.77,60.31,10.00,,
360,03/30/2022 14:16:58,17.79,59.72,9.87,,
361,03/30/2022 14:21:58,17.98,60.10,10.15,,
362,03/30/2022 14:26:58,18.11,61.05,10.50,,
363,03/30/2022 14:31:58,18.25,58.42,9.98,,
364,03/30/2022 14:36:58,18.04,59.29,9.99,,
365,03/30/2022 14:41:58,18.00,59.72,10.07,,
366,03/30/2022 14:46:58,17.64,59.71,9.73,,
367,03/30/2022 14:51:58,17.41,60.34,9.67,,
368,03/30/2022 14:56:58,17.43,60.41,9.70,,
369,03/30/2022 15:01:58,17.30,60.35,9.56,,
370,03/30/2022 15:06:58,16.96,61.21,9.46,,
371,03/30/2022 15:11:58,16.85,61.97,9.53,,
372,03/30/2022 15:16:58,16.65,62.46,9.47,,
373,03/30/2022 15:21:58,16.59,64.35,9.85,,
374,03/30/2022 15:26:58,16.73,64.69,10.06,,
375,03/30/2022 15:31:58,16.78,63.13,9.75,,
376,03/30/2022 15:36:58,17.01,62.40,9.79,,
377,03/30/2022 15:41:58,17.08,62.30,9.83,,
378,03/30/2022 15:46:58,17.21,62.56,10.02,,
379,03/30/2022 15:51:58,17.54,62.89,10.41,,
380,03/30/2022 15:56:58,17.72,61.37,10.21,,
381,03/30/2022 16:01:58,17.50,61.34,10.00,,
382,03/30/2022 16:06:58,17.40,61.52,9.95,,
383,03/30/2022 16:11:58,17.82,60.78,10.16,,
384,03/30/2022 16:16:58,18.18,59.84,10.26,,
385,03/30/2022 16:21:58,18.18,59.95,10.29,,
386,03/30/2022 16:26:58,18.22,59.59,10.24,,
387,03/30/2022 16:31:58,18.02,60.00,10.15,,
388,03/30/2022 16:36:58,17.82,60.88,10.19,,
389,03/30/2022 16:41:58,17.74,61.30,10.21,,
390,03/30/2022 16:46:58,17.49,62.19,10.19,,
391,03/30/2022 16:51:58,17.43,62.91,10.30,,
392,03/30/2022 16:56:58,17.50,63.62,10.54,,
393,03/30/2022 17:01:58,17.37,64.05,10.52,,
394,03/30/2022 17:06:58,17.26,64.95,10.63,,
395,03/30/2022 17:11:58,17.11,64.91,10.48,,
396,03/30/2022 17:16:58,17.06,65.94,10.66,,
397,03/30/2022 17:21:58,17.03,66.73,10.81,,
398,03/30/2022 17:26:58,16.84,67.88,10.89,,
399,03/30/2022 17:31:58,16.74,66.42,10.47,,
400,03/30/2022 17:36:58,16.73,67.03,10.59,,
401,03/30/2022 17:41:58,16.66,67.80,10.70,,
402,03/30/2022 17:46:58,16.60,68.21,10.73,,
403,03/30/2022 17:51:58,16.48,68.42,10.67,,
404,03/30/2022 17:56:58,16.36,68.46,10.56,,
405,03/30/2022 18:01:58,16.28,68.82,10.56,,
406,03/30/2022 18:06:58,16.17,69.93,10.70,,
407,03/30/2022 18:11:58,16.05,70.04,10.61,,
408,03/30/2022 18:16:58,15.90,70.93,10.65,,
409,03/30/2022 18:21:58,15.80,70.43,10.44,,
410,03/30/2022 18:26:58,15.75,71.39,10.61,,
411,03/30/2022 18:31:58,15.55,71.76,10.49,,
412,03/30/2022 18:36:58,15.44,72.40,10.52,,
413,03/30/2022 18:41:58,15.29,72.84,10.46,,
414,03/30/2022 18:46:58,15.26,73.07,10.48,,
415,03/30/2022 18:51:58,15.15,73.09,10.38,,
416,03/30/2022 18:56:58,15.04,73.50,10.36,,
417,03/30/2022 19:01:58,14.98,74.64,10.53,,
418,03/30/2022 19:06:58,14.88,74.48,10.41,,
419,03/30/2022 19:11:58,14.80,74.93,10.41,,
420,03/30/2022 19:16:58,14.73,75.32,10.43,,
421,03/30/2022 19:21:58,14.72,75.04,10.36,,
422,03/30/2022 19:26:58,14.65,75.30,10.34,,
423,03/30/2022 19:31:58,14.59,75.92,10.41,,
424,03/30/2022 19:36:58,14.50,76.79,10.49,,
425,03/30/2022 19:41:58,14.42,77.04,10.46,,
426,03/30/2022 19:46:58,14.28,77.10,10.34,,
427,03/30/2022 19:51:58,14.14,77.09,10.20,,
428,03/30/2022 19:56:58,14.06,77.82,10.26,,
429,03/30/2022 20:01:58,13.88,77.69,10.06,,
430,03/30/2022 20:06:58,13.76,78.45,10.09,,
431,03/30/2022 20:11:58,13.63,78.87,10.04,,
432,03/30/2022 20:16:58,13.54,78.72,9.93,,
433,03/30/2022 20:21:58,13.32,79.65,9.89,,
434,03/30/2022 20:26:58,13.17,78.53,9.53,,
435,03/30/2022 20:31:58,12.99,79.81,9.59,,
436,03/30/2022 20:36:58,12.76,78.69,9.17,,
437,03/30/2022 20:41:58,12.61,81.89,9.61,,
438,03/30/2022 20:46:58,12.49,82.59,9.62,,
439,03/30/2022 20:51:58,12.35,82.35,9.44,,
440,03/30/2022 20:56:58,12.28,82.35,9.37,,
441,03/30/2022 21:01:58,12.14,82.54,9.27,,
442,03/30/2022 21:06:58,11.99,83.03,9.21,,
443,03/30/2022 21:11:58,11.84,82.65,8.99,,
444,03/30/2022 21:16:58,11.77,82.57,8.92,,
445,03/30/2022 21:21:58,11.62,81.57,8.59,,
446,03/30/2022 21:26:58,11.51,82.94,8.72,,
447,03/30/2022 21:31:58,11.38,82.86,8.58,,
448,03/30/2022 21:36:58,11.29,83.77,8.66,,
449,03/30/2022 21:41:58,11.18,83.98,8.59,,
450,03/30/2022 21:46:58,11.05,86.26,8.86,,
451,03/30/2022 21:51:58,10.98,85.16,8.60,,
452,03/30/2022 21:56:58,10.86,85.77,8.59,,
453,03/30/2022 22:01:58,10.74,85.69,8.45,,
454,03/30/2022 22:06:58,10.60,86.80,8.51,,
455,03/30/2022 22:11:58,10.49,85.89,8.24,,
456,03/30/2022 22:16:58,10.33,86.25,8.14,,
457,03/30/2022 22:21:58,10.22,86.95,8.15,,
458,03/30/2022 22:26:58,10.15,87.32,8.15,,
459,03/30/2022 22:31:58,10.06,85.93,7.82,,
460,03/30/2022 22:36:58,10.20,90.63,8.74,,
461,03/30/2022 22:41:58,10.35,89.07,8.63,,
462,03/30/2022 22:46:58,10.31,88.65,8.53,,
463,03/30/2022 22:51:58,10.31,88.62,8.53,,
464,03/30/2022 22:56:58,10.40,89.02,8.68,,
465,03/30/2022 23:01:58,10.54,89.09,8.83,,
466,03/30/2022 23:06:58,10.66,88.84,8.90,,
467,03/30/2022 23:11:58,10.74,88.74,8.97,,
468,03/30/2022 23:16:58,10.85,88.43,9.03,,
469,03/30/2022 23:21:58,10.92,88.57,9.11,,
470,03/30/2022 23:26:58,11.03,88.15,9.16,,
471,03/30/2022 23:31:58,11.03,87.00,8.96,,
472,03/30/2022 23:36:58,11.11,86.85,9.01,,
473,03/30/2022 23:41:58,11.14,87.72,9.19,,
474,03/30/2022 23:46:58,11.13,87.20,9.09,,
475,03/30/2022 23:51:58,11.13,87.14,9.08,,
476,03/30/2022 23:56:58,11.15,86.56,9.01,,
477,03/31/2022 00:01:58,11.20,86.69,9.08,,
478,03/31/2022 00:06:58,11.28,87.02,9.21,,
479,03/31/2022 00:11:58,11.36,87.42,9.35,,
