#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
76,05/01/2021 15:35:44,29.38,30.14,10.09,,,
77,05/01/2021 15:40:44,29.71,27.44,8.96,,,
78,05/01/2021 15:45:44,29.58,26.89,8.56,,,
79,05/01/2021 15:50:44,29.36,28.14,9.04,,,
80,05/01/2021 15:55:44,29.23,26.54,8.07,,,
81,05/01/2021 16:00:44,29.13,26.59,8.01,,,
82,05/01/2021 16:05:44,28.92,28.63,8.92,,,
83,05/01/2021 16:10:44,28.85,28.53,8.81,,,
84,05/01/2021 16:15:44,28.86,27.58,8.32,,,
85,05/01/2021 16:20:44,28.83,31.05,10.05,,,
86,05/01/2021 16:25:44,28.78,30.79,9.89,,,
87,05/01/2021 16:30:44,28.77,29.63,9.31,,,
88,05/01/2021 16:35:44,28.72,28.10,8.48,,,
89,05/01/2021 16:40:44,28.54,28.62,8.59,,,
90,05/01/2021 16:45:44,28.53,30.99,9.76,,,
91,05/01/2021 16:50:44,28.54,28.63,8.60,,,
92,05/01/2021 16:55:44,28.35,29.05,8.66,,,
93,05/01/2021 17:00:44,28.26,28.74,8.41,,,
94,05/01/2021 17:05:44,28.15,29.32,8.62,,,
95,05/01/2021 17:10:44,28.04,30.34,9.03,,,
96,05/01/2021 17:15:44,28.03,29.27,8.49,,,
97,05/01/2021 17:20:44,27.94,31.97,9.72,,,
98,05/01/2021 17:25:44,28.14,31.99,9.90,,,
99,05/01/2021 17:30:44,28.01,30.74,9.20,,,
100,05/01/2021 17:35:44,27.80,31.66,9.45,,,
101,05/01/2021 17:40:44,27.83,32.15,9.71,,,
102,05/01/2021 17:45:44,27.71,32.39,9.71,,,
103,05/01/2021 17:50:44,27.55,31.38,9.10,,,
104,05/01/2021 17:55:44,27.45,32.95,9.75,,,
105,05/01/2021 18:00:44,27.54,32.45,9.59,,,
106,05/01/2021 18:05:44,27.41,31.76,9.16,,,
107,05/01/2021 18:10:44,27.42,32.74,9.62,,,
108,05/01/2021 18:15:44,27.61,32.14,9.52,,,
109,05/01/2021 18:20:44,27.44,32.97,9.75,,,
110,05/01/2021 18:25:44,27.35,32.39,9.40,,,
111,05/01/2021 18:30:44,26.86,33.61,9.53,,,
112,05/01/2021 18:35:44,26.54,34.38,9.58,,,
113,05/01/2021 18:40:44,26.26,33.72,9.05,,,
114,05/01/2021 18:45:44,26.10,34.06,9.06,,,
115,05/01/2021 18:50:44,25.89,34.30,8.97,,,
116,05/01/2021 18:55:44,25.74,34.88,9.09,,,
117,05/01/2021 19:00:44,25.57,35.93,9.38,,,
118,05/01/2021 19:05:44,25.36,36.15,9.29,,,
119,05/01/2021 19:10:44,25.08,36.06,9.01,,,
120,05/01/2021 19:15:44,24.99,36.87,9.25,,,
121,05/01/2021 19:20:44,24.83,37.34,9.30,,,
122,05/01/2021 19:25:44,24.55,39.75,9.98,,,
123,05/01/2021 19:30:44,24.29,39.73,9.74,,,
124,05/01/2021 19:35:44,23.92,41.36,10.02,,,
125,05/01/2021 19:40:44,23.53,42.50,10.07,,,
126,05/01/2021 19:45:44,23.21,44.17,10.36,,,
127,05/01/2021 19:50:44,22.87,46.30,10.76,,,
128,05/01/2021 19:55:44,22.43,47.72,10.81,,,
129,05/01/2021 20:00:44,22.26,46.32,10.21,,,
130,05/01/2021 20:05:44,22.20,46.12,10.09,,,
131,05/01/2021 20:10:44,22.09,47.46,10.42,,,
132,05/01/2021 20:15:44,21.87,49.70,10.90,,,
133,05/01/2021 20:20:44,21.44,51.23,10.97,,,
134,05/01/2021 20:25:44,21.04,49.64,10.13,,,
135,05/01/2021 20:30:44,20.64,50.27,9.95,,,
136,05/01/2021 20:35:44,20.33,51.29,9.96,,,
137,05/01/2021 20:40:44,20.06,52.76,10.14,,,
138,05/01/2021 20:45:44,19.73,53.20,9.96,,,
139,05/01/2021 20:50:44,19.38,54.56,10.01,,,
140,05/01/2021 20:55:44,19.17,55.06,9.95,,,
141,05/01/2021 21:00:44,19.07,55.24,9.90,,,
142,05/01/2021 21:05:44,18.77,56.28,9.90,,,
143,05/01/2021 21:10:44,18.48,58.14,10.11,,,
144,05/01/2021 21:15:44,18.29,58.20,9.96,,,
145,05/01/2021 21:20:44,18.25,57.82,9.82,,,
146,05/01/2021 21:25:44,18.21,57.94,9.81,,,
147,05/01/2021 21:30:44,18.18,57.55,9.68,,,
148,05/01/2021 21:35:44,18.21,56.74,9.50,,,
149,05/01/2021 21:40:44,18.20,56.84,9.51,,,
150,05/01/2021 21:45:44,18.09,57.17,9.50,,,
151,05/01/2021 21:50:44,17.87,57.50,9.38,,,
152,05/01/2021 21:55:44,17.65,57.86,9.27,,,
153,05/01/2021 22:00:44,17.50,58.30,9.24,,,
154,05/01/2021 22:05:44,17.33,58.76,9.20,,,
155,05/01/2021 22:10:44,17.18,59.22,9.17,,,
156,05/01/2021 22:15:44,17.07,59.49,9.14,,,
157,05/01/2021 22:20:44,16.95,60.07,9.17,,,
158,05/01/2021 22:25:44,16.90,60.50,9.22,,,
159,05/01/2021 22:30:44,16.81,60.82,9.22,,,
160,05/01/2021 22:35:44,16.70,60.84,9.12,,,
161,05/01/2021 22:40:44,16.63,61.16,9.13,,,
162,05/01/2021 22:45:44,16.58,61.42,9.15,,,
163,05/01/2021 22:50:44,16.47,61.72,9.12,,,
164,05/01/2021 22:55:44,16.40,62.25,9.17,,,
165,05/01/2021 23:00:44,16.34,62.60,9.20,,,
166,05/01/2021 23:05:44,16.30,62.24,9.08,,,
167,05/01/2021 23:10:44,16.24,62.67,9.12,,,
168,05/01/2021 23:15:44,16.15,62.88,9.09,,,
169,05/01/2021 23:20:44,16.11,63.87,9.28,,,
170,05/01/2021 23:25:44,16.02,63.56,9.13,,,
171,05/01/2021 23:30:44,15.88,64.47,9.21,,,
172,05/01/2021 23:35:44,15.78,64.40,9.10,,,
173,05/01/2021 23:40:44,15.78,64.70,9.17,,,
174,05/01/2021 23:45:44,15.69,64.88,9.12,,,
175,05/01/2021 23:50:44,15.54,65.50,9.11,,,
176,05/01/2021 23:55:44,15.30,66.27,9.06,,,
177,05/02/2021 00:00:44,15.24,66.31,9.01,,,
178,05/02/2021 00:05:44,15.09,67.16,9.06,,,
179,05/02/2021 00:10:44,14.86,67.76,8.97,,,
180,05/02/2021 00:15:44,14.67,68.12,8.87,,,
181,05/02/2021 00:20:44,14.48,69.12,8.90,,,
182,05/02/2021 00:25:44,14.45,69.29,8.92,,,
183,05/02/2021 00:30:44,14.64,68.72,8.97,,,
184,05/02/2021 00:35:44,14.71,68.59,9.01,,,
185,05/02/2021 00:40:44,14.62,68.69,8.94,,,
186,05/02/2021 00:45:44,14.49,69.37,8.96,,,
187,05/02/2021 00:50:44,14.44,69.49,8.95,,,
188,05/02/2021 00:55:44,14.24,70.79,9.03,,,
189,05/02/2021 01:00:44,14.14,71.76,9.14,,,
190,05/02/2021 01:05:44,13.99,71.85,9.01,,,
191,05/02/2021 01:10:44,13.88,71.63,8.85,,,
192,05/02/2021 01:15:44,13.80,71.49,8.75,,,
193,05/02/2021 01:20:44,13.74,72.38,8.87,,,
194,05/02/2021 01:25:44,13.67,72.25,8.78,,,
195,05/02/2021 01:30:44,13.65,72.06,8.72,,,
196,05/02/2021 01:35:44,13.65,72.45,8.80,,,
197,05/02/2021 01:40:44,13.55,73.10,8.84,,,
198,05/02/2021 01:45:44,13.56,72.98,8.83,,,
199,05/02/2021 01:50:44,13.60,72.44,8.75,,,
200,05/02/2021 01:55:44,13.58,72.74,8.79,,,
201,05/02/2021 02:00:44,13.58,73.01,8.84,,,
202,05/02/2021 02:05:44,13.62,73.14,8.91,,,
203,05/02/2021 02:10:44,13.68,72.65,8.87,,,
204,05/02/2021 02:15:44,13.62,72.68,8.82,,,
205,05/02/2021 02:20:44,13.63,72.79,8.85,,,
206,05/02/2021 02:25:44,13.59,73.52,8.96,,,
207,05/02/2021 02:30:44,13.40,74.38,8.95,,,
208,05/02/2021 02:35:44,13.25,74.63,8.86,,,
209,05/02/2021 02:40:44,13.34,74.38,8.89,,,
210,05/02/2021 02:45:44,13.40,73.90,8.86,,,
211,05/02/2021 02:50:44,13.40,73.53,8.78,,,
212,05/02/2021 02:55:44,13.48,73.07,8.76,,,
213,05/02/2021 03:00:44,13.48,72.70,8.69,,,
214,05/02/2021 03:05:44,13.45,73.14,8.75,,,
215,05/02/2021 03:10:44,13.35,72.96,8.62,,,
216,05/02/2021 03:15:44,13.30,73.17,8.61,,,
217,05/02/2021 03:20:44,13.25,72.80,8.49,,,
218,05/02/2021 03:25:44,13.08,73.28,8.42,,,
219,05/02/2021 03:30:44,12.90,73.88,8.37,,,
220,05/02/2021 03:35:44,12.86,74.29,8.41,,,
221,05/02/2021 03:40:44,12.76,74.66,8.39,,,
222,05/02/2021 03:45:44,12.57,74.89,8.25,,,
223,05/02/2021 03:50:44,12.47,75.41,8.26,,,
224,05/02/2021 03:55:44,12.40,75.76,8.25,,,
225,05/02/2021 04:00:44,12.28,75.50,8.09,,,
226,05/02/2021 04:05:44,12.20,75.64,8.04,,,
227,05/02/2021 04:10:44,12.16,76.03,8.07,,,
228,05/02/2021 04:15:44,12.17,75.50,7.98,,,
229,05/02/2021 04:20:44,12.06,75.54,7.88,,,
230,05/02/2021 04:25:44,11.92,75.82,7.81,,,
231,05/02/2021 04:30:44,11.76,76.04,7.69,,,
232,05/02/2021 04:35:44,11.73,76.45,7.74,,,
233,05/02/2021 04:40:44,11.57,76.42,7.58,,,
234,05/02/2021 04:45:44,11.45,76.71,7.52,,,
235,05/02/2021 04:50:44,11.44,76.88,7.54,,,
236,05/02/2021 04:55:44,11.38,76.91,7.48,,,
237,05/02/2021 05:00:44,11.36,76.98,7.48,,,
238,05/02/2021 05:05:44,11.24,76.81,7.33,,,
239,05/02/2021 05:10:44,11.10,77.72,7.37,,,
240,05/02/2021 05:15:44,11.13,77.39,7.34,,,
241,05/02/2021 05:20:44,11.08,77.10,7.23,,,
242,05/02/2021 05:25:44,10.98,78.00,7.30,,,
243,05/02/2021 05:30:44,11.00,78.26,7.37,,,
244,05/02/2021 05:35:44,11.08,77.92,7.38,,,
245,05/02/2021 05:40:44,11.05,77.80,7.34,,,
246,05/02/2021 05:45:44,11.05,77.93,7.36,,,
247,05/02/2021 05:50:44,11.12,77.76,7.40,,,
248,05/02/2021 05:55:44,11.02,77.75,7.30,,,
249,05/02/2021 06:00:44,10.90,77.93,7.22,,,
250,05/02/2021 06:05:44,10.94,78.58,7.37,,,
251,05/02/2021 06:10:44,10.99,78.02,7.32,,,
252,05/02/2021 06:15:44,10.96,77.52,7.19,,,
253,05/02/2021 06:20:44,10.99,78.12,7.34,,,
254,05/02/2021 06:25:44,11.11,77.12,7.26,,,
255,05/02/2021 06:30:44,11.54,75.35,7.34,,,
256,05/02/2021 06:35:44,12.13,70.96,7.03,,,
257,05/02/2021 06:40:44,13.07,67.71,7.25,,,
258,05/02/2021 06:45:44,14.25,60.09,6.63,,,
259,05/02/2021 06:50:44,15.16,55.30,6.28,,,
260,05/02/2021 06:55:44,15.99,53.51,6.57,,,
261,05/02/2021 07:00:44,16.34,51.80,6.43,,,
262,05/02/2021 07:05:44,16.58,49.41,5.96,,,
263,05/02/2021 07:10:44,16.79,50.39,6.44,,,
264,05/02/2021 07:15:44,17.01,49.62,6.41,,,
265,05/02/2021 07:20:44,17.18,49.17,6.44,,,
266,05/02/2021 07:25:44,17.38,47.64,6.17,,,
267,05/02/2021 07:30:44,17.46,48.18,6.40,,,
268,05/02/2021 07:35:44,17.70,46.81,6.21,,,
269,05/02/2021 07:40:44,18.06,45.68,6.18,,,
270,05/02/2021 07:45:44,18.24,46.42,6.57,,,
271,05/02/2021 07:50:44,18.39,45.67,6.48,,,
272,05/02/2021 07:55:44,18.93,42.47,5.91,,,
273,05/02/2021 08:00:44,19.46,39.63,5.39,,,
274,05/02/2021 08:05:44,19.75,39.56,5.63,,,
275,05/02/2021 08:10:44,20.01,39.38,5.79,,,
276,05/02/2021 08:15:44,20.26,37.30,5.23,,,
277,05/02/2021 08:20:44,20.49,37.20,5.40,,,
278,05/02/2021 08:25:44,20.66,36.68,5.35,,,
279,05/02/2021 08:30:44,20.79,36.68,5.46,,,
280,05/02/2021 08:35:44,20.98,35.83,5.29,,,
281,05/02/2021 08:40:44,21.13,35.55,5.31,,,
282,05/02/2021 08:45:44,21.37,35.00,5.30,,,
283,05/02/2021 08:50:44,21.46,34.56,5.19,,,
284,05/02/2021 08:55:44,21.62,34.02,5.11,,,
285,05/02/2021 09:00:44,21.75,34.14,5.27,,,
286,05/02/2021 09:05:44,21.85,34.21,5.40,,,
287,05/02/2021 09:10:44,21.96,35.12,5.87,,,
288,05/02/2021 09:15:44,22.08,33.69,5.37,,,
289,05/02/2021 09:20:44,22.12,34.25,5.65,,,
290,05/02/2021 09:25:44,22.24,35.02,6.07,,,
291,05/02/2021 09:30:44,22.47,33.96,5.83,,,
292,05/02/2021 09:35:44,22.48,33.04,5.44,,,
293,05/02/2021 09:40:44,22.55,32.63,5.33,,,
294,05/02/2021 09:45:44,22.69,32.28,5.29,,,
295,05/02/2021 09:50:44,22.81,33.74,6.03,,,
296,05/02/2021 09:55:44,22.98,32.53,5.66,,,
297,05/02/2021 10:00:44,22.98,31.48,5.18,,,
298,05/02/2021 10:05:44,23.05,32.02,5.48,,,
299,05/02/2021 10:10:44,23.17,31.54,5.38,,,
300,05/02/2021 10:15:44,23.20,32.21,5.70,,,
301,05/02/2021 10:20:44,23.30,30.93,5.21,,,
302,05/02/2021 10:25:44,23.39,31.94,5.75,,,
303,05/02/2021 10:30:44,23.49,31.98,5.85,,,
304,05/02/2021 10:35:44,23.62,30.92,5.48,,,
305,05/02/2021 10:40:44,23.66,30.55,5.34,,,
306,05/02/2021 10:45:44,23.86,30.17,5.33,,,
307,05/02/2021 10:50:44,23.92,29.62,5.13,,,
308,05/02/2021 10:55:44,24.10,30.41,5.65,,,
309,05/02/2021 11:00:44,24.19,30.74,5.89,,,
310,05/02/2021 11:05:44,24.34,30.02,5.68,,,
311,05/02/2021 11:10:44,24.47,29.01,5.30,,,
312,05/02/2021 11:15:44,24.45,29.41,5.48,,,
313,05/02/2021 11:20:44,24.48,28.38,4.99,,,
314,05/02/2021 11:25:44,24.58,30.47,6.10,,,
315,05/02/2021 11:30:44,24.76,29.37,5.73,,,
316,05/02/2021 11:35:44,24.85,28.15,5.19,,,
317,05/02/2021 11:40:44,24.75,27.34,4.69,,,
318,05/02/2021 11:45:44,24.97,28.82,5.63,,,
319,05/02/2021 11:50:44,25.19,28.04,5.43,,,
320,05/02/2021 11:55:44,25.38,28.10,5.62,,,
321,05/02/2021 12:00:44,25.40,27.21,5.17,,,
322,05/02/2021 12:05:44,25.44,27.15,5.17,,,
323,05/02/2021 12:10:44,25.53,26.02,4.65,,,
324,05/02/2021 12:15:44,25.72,26.93,5.29,,,
325,05/02/2021 12:20:44,25.78,25.81,4.74,,,
326,05/02/2021 12:25:44,25.92,25.97,4.95,,,
327,05/02/2021 12:30:44,25.96,26.87,5.47,,,
328,05/02/2021 12:35:44,26.10,25.73,4.97,,,
329,05/02/2021 12:40:44,26.10,26.40,5.34,,,
330,05/02/2021 12:45:44,26.13,25.55,4.90,,,
331,05/02/2021 12:50:44,26.08,25.34,4.73,,,
332,05/02/2021 12:55:44,26.19,25.27,4.78,,,
333,05/02/2021 13:00:44,26.34,24.06,4.20,,,
334,05/02/2021 13:05:44,26.57,25.28,5.11,,,
335,05/02/2021 13:10:44,26.71,25.43,5.31,,,
336,05/02/2021 13:15:44,26.83,25.84,5.65,,,
337,05/02/2021 13:20:44,27.04,24.52,5.06,,,
338,05/02/2021 13:25:44,27.08,24.78,5.25,,,
339,05/02/2021 13:30:44,27.06,22.93,4.12,,,
340,05/02/2021 13:35:44,27.10,23.07,4.25,,,
341,05/02/2021 13:40:44,27.13,22.18,3.71,,,
342,05/02/2021 13:45:44,27.17,24.20,4.99,,,
343,05/02/2021 13:50:44,27.31,24.17,5.09,,,
344,05/02/2021 13:55:44,27.61,24.06,5.28,,,
345,05/02/2021 14:00:44,27.67,22.83,4.57,,,
346,05/02/2021 14:05:44,27.49,22.08,3.95,,,
347,05/02/2021 14:10:44,27.59,21.19,3.45,,,
348,05/02/2021 14:15:44,27.35,23.65,4.81,,,
349,05/02/2021 14:20:44,27.43,21.21,3.33,,,
350,05/02/2021 14:25:44,27.65,21.45,3.66,,,
351,05/02/2021 14:30:44,27.74,22.02,4.11,,,
352,05/02/2021 14:35:44,27.70,22.31,4.27,,,
353,05/02/2021 14:40:44,27.76,21.31,3.67,,,
354,05/02/2021 14:45:44,27.65,21.79,3.89,,,
355,05/02/2021 14:50:44,27.71,22.31,4.28,,,
356,05/02/2021 14:55:44,27.75,23.43,5.02,,,
357,05/02/2021 15:00:44,27.89,22.33,4.44,,,
358,05/02/2021 15:05:44,27.89,20.51,3.23,,,
359,05/02/2021 15:10:44,27.78,22.36,4.36,,,
360,05/02/2021 15:15:44,27.98,21.90,4.24,,,
361,05/02/2021 15:20:44,27.90,22.33,4.45,,,
362,05/02/2021 15:25:44,27.95,21.87,4.19,,,
363,05/02/2021 15:30:44,27.98,21.45,3.94,,,
364,05/02/2021 15:35:44,27.98,20.31,3.16,,,
365,05/02/2021 15:40:44,28.08,20.52,3.39,,,
366,05/02/2021 15:45:44,28.25,20.31,3.38,,,
367,05/02/2021 15:50:44,28.14,21.60,4.17,,,
368,05/02/2021 15:55:44,28.12,19.54,2.73,,,
369,05/02/2021 16:00:44,27.94,19.47,2.53,,,
370,05/02/2021 16:05:44,27.86,19.16,2.25,,,
371,05/02/2021 16:10:44,27.79,20.86,3.39,,,
372,05/02/2021 16:15:44,27.83,19.73,2.64,,,
373,05/02/2021 16:20:44,27.74,21.12,3.52,,,
374,05/02/2021 16:25:44,27.73,20.75,3.26,,,
375,05/02/2021 16:30:44,27.67,22.03,4.06,,,
376,05/02/2021 16:35:44,27.75,21.57,3.83,,,
377,05/02/2021 16:40:44,27.60,21.06,3.37,,,
378,05/02/2021 16:45:44,27.44,21.83,3.74,,,
379,05/02/2021 16:50:44,27.38,21.13,3.23,,,
380,05/02/2021 16:55:44,27.42,20.26,2.67,,,
381,05/02/2021 17:00:44,27.45,22.58,4.24,,,
382,05/02/2021 17:05:44,27.36,22.03,3.80,,,
383,05/02/2021 17:10:44,27.42,21.34,3.40,,,
384,05/02/2021 17:15:44,27.47,20.52,2.90,,,
385,05/02/2021 17:20:44,27.57,20.40,2.89,,,
386,05/02/2021 17:25:44,27.58,20.66,3.08,,,
387,05/02/2021 17:30:44,27.55,19.86,2.50,,,
388,05/02/2021 17:35:44,27.52,19.61,2.29,,,
389,05/02/2021 17:40:44,27.40,20.02,2.49,,,
390,05/02/2021 17:45:44,27.32,20.82,2.98,,,
391,05/02/2021 17:50:44,27.24,19.90,2.27,,,
392,05/02/2021 17:55:44,27.52,20.12,2.65,,,
393,05/02/2021 18:00:44,27.56,19.38,2.17,,,
394,05/02/2021 18:05:44,27.28,18.95,1.62,,,
395,05/02/2021 18:10:44,27.28,20.91,3.00,,,
396,05/02/2021 18:15:44,27.61,19.37,2.20,,,
397,05/02/2021 18:20:44,27.46,19.77,2.36,,,
398,05/02/2021 18:25:44,27.28,20.21,2.52,,,
399,05/02/2021 18:30:44,26.87,20.25,2.21,,,
400,05/02/2021 18:35:44,26.65,21.81,3.07,,,
401,05/02/2021 18:40:44,26.40,20.66,2.11,,,
402,05/02/2021 18:45:44,26.31,20.73,2.07,,,
403,05/02/2021 18:50:44,26.18,22.09,2.86,,,
404,05/02/2021 18:55:44,26.02,21.29,2.21,,,
405,05/02/2021 19:00:44,25.89,22.25,2.72,,,
406,05/02/2021 19:05:44,25.72,22.64,2.82,,,
407,05/02/2021 19:10:44,25.62,22.94,2.92,,,
408,05/02/2021 19:15:44,25.36,23.53,3.07,,,
409,05/02/2021 19:20:44,25.15,23.65,2.96,,,
410,05/02/2021 19:25:44,24.88,25.11,3.59,,,
411,05/02/2021 19:30:44,24.56,26.55,4.10,,,
412,05/02/2021 19:35:44,24.34,24.83,2.97,,,
413,05/02/2021 19:40:44,24.26,24.76,2.86,,,
414,05/02/2021 19:45:44,24.10,25.12,2.93,,,
415,05/02/2021 19:50:44,23.91,25.42,2.94,,,
416,05/02/2021 19:55:44,23.59,26.47,3.24,,,
417,05/02/2021 20:00:44,23.37,26.42,3.02,,,
418,05/02/2021 20:05:44,23.20,27.46,3.42,,,
419,05/02/2021 20:10:44,22.98,27.05,3.02,,,
420,05/02/2021 20:15:44,22.73,27.82,3.21,,,
421,05/02/2021 20:20:44,22.52,28.09,3.16,,,
422,05/02/2021 20:25:44,22.19,29.10,3.38,,,
423,05/02/2021 20:30:44,21.92,30.18,3.66,,,
424,05/02/2021 20:35:44,21.64,30.75,3.68,,,
425,05/02/2021 20:40:44,21.47,29.99,3.18,,,
426,05/02/2021 20:45:44,21.37,30.55,3.36,,,
427,05/02/2021 20:50:44,21.21,31.32,3.57,,,
428,05/02/2021 20:55:44,21.17,29.66,2.76,,,
429,05/02/2021 21:00:44,21.05,30.04,2.84,,,
430,05/02/2021 21:05:44,20.87,30.77,3.02,,,
431,05/02/2021 21:10:44,20.61,31.15,2.97,,,
432,05/02/2021 21:15:44,20.44,32.44,3.40,,,
433,05/02/2021 21:20:44,20.29,32.10,3.12,,,
434,05/02/2021 21:25:44,20.24,33.47,3.66,,,
435,05/02/2021 21:30:44,20.16,35.22,4.32,,,
436,05/02/2021 21:35:44,19.94,35.55,4.26,,,
437,05/02/2021 21:40:44,19.79,37.69,4.96,,,
438,05/02/2021 21:45:44,19.62,37.70,4.82,,,
439,05/02/2021 21:50:44,19.55,37.05,4.50,,,
440,05/02/2021 21:55:44,19.61,37.09,4.58,,,
441,05/02/2021 22:00:44,19.88,35.95,4.37,,,
442,05/02/2021 22:05:44,20.35,34.12,4.04,,,
443,05/02/2021 22:10:44,20.93,32.89,4.02,,,
444,05/02/2021 22:15:44,21.33,32.02,3.99,,,
445,05/02/2021 22:20:44,21.78,29.81,3.36,,,
446,05/02/2021 22:25:44,22.23,29.60,3.66,,,
447,05/02/2021 22:30:44,22.52,29.12,3.67,,,
448,05/02/2021 22:35:44,22.58,28.70,3.52,,,
449,05/02/2021 22:40:44,22.72,27.99,3.29,,,
450,05/02/2021 22:45:44,22.76,27.72,3.18,,,
451,05/02/2021 22:50:44,23.02,28.10,3.60,,,
452,05/02/2021 22:55:44,23.00,27.47,3.26,,,
453,05/02/2021 23:00:44,23.26,26.22,2.82,,,
454,05/02/2021 23:05:44,23.43,25.93,2.81,,,
455,05/02/2021 23:10:44,23.51,25.69,2.74,,,
456,05/02/2021 23:15:44,23.47,25.94,2.85,,,
457,05/02/2021 23:20:44,23.44,26.28,3.01,,,
458,05/02/2021 23:25:44,23.44,25.76,2.72,,,
459,05/02/2021 23:30:44,23.40,26.04,2.84,,,
460,05/02/2021 23:35:44,23.35,25.77,2.65,,,
461,05/02/2021 23:40:44,23.30,26.55,3.04,,,
462,05/02/2021 23:45:44,23.15,26.29,2.77,,,
