#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),End of File
78,03/29/2022 16:38:29,23.58,49.50,12.42,
79,03/29/2022 16:43:29,22.54,51.53,12.07,
80,03/29/2022 16:48:29,22.33,55.41,12.98,
81,03/29/2022 16:53:29,22.87,53.34,12.91,
82,03/29/2022 16:58:29,22.93,54.40,13.26,
83,03/29/2022 17:03:29,22.83,53.64,12.95,
84,03/29/2022 17:08:29,22.90,53.48,12.97,
85,03/29/2022 17:13:29,22.84,53.96,13.05,
86,03/29/2022 17:18:29,22.93,52.55,12.73,
87,03/29/2022 17:23:29,22.95,53.21,12.94,
88,03/29/2022 17:28:29,23.08,53.75,13.21,
89,03/29/2022 17:33:29,23.06,52.02,12.69,
90,03/29/2022 17:38:29,22.61,53.83,12.80,
91,03/29/2022 17:43:29,22.72,52.23,12.45,
92,03/29/2022 17:48:29,22.68,54.06,12.93,
93,03/29/2022 17:53:29,22.50,55.32,13.12,
94,03/29/2022 17:58:29,22.61,54.18,12.90,
95,03/29/2022 18:03:29,22.73,52.96,12.67,
96,03/29/2022 18:08:29,22.84,52.25,12.56,
97,03/29/2022 18:13:29,22.07,55.01,12.63,
98,03/29/2022 18:18:29,21.17,58.25,12.66,
99,03/29/2022 18:23:29,20.81,59.56,12.67,
100,03/29/2022 18:28:29,19.90,60.42,12.03,
101,03/29/2022 18:33:29,19.17,61.58,11.64,
102,03/29/2022 18:38:29,19.06,62.02,11.63,
103,03/29/2022 18:43:29,18.68,63.41,11.61,
104,03/29/2022 18:48:29,18.32,63.80,11.36,
105,03/29/2022 18:53:29,18.00,65.36,11.43,
106,03/29/2022 18:58:29,17.69,65.77,11.23,
107,03/29/2022 19:03:29,17.40,65.78,10.95,
108,03/29/2022 19:08:29,17.15,66.31,10.83,
109,03/29/2022 19:13:29,16.90,67.19,10.79,
110,03/29/2022 19:18:29,16.63,67.85,10.68,
111,03/29/2022 19:23:29,16.36,68.57,10.59,
112,03/29/2022 19:28:29,16.05,69.77,10.55,
113,03/29/2022 19:33:29,15.80,70.45,10.45,
114,03/29/2022 19:38:29,15.67,71.30,10.50,
115,03/29/2022 19:43:29,15.58,71.63,10.49,
116,03/29/2022 19:48:29,15.34,72.32,10.41,
117,03/29/2022 19:53:29,15.15,72.97,10.36,
118,03/29/2022 19:58:29,14.96,73.18,10.21,
119,03/29/2022 20:03:29,14.74,73.99,10.17,
120,03/29/2022 20:08:29,14.65,74.45,10.17,
121,03/29/2022 20:13:29,14.45,74.82,10.06,
122,03/29/2022 20:18:29,14.38,75.63,10.15,
123,03/29/2022 20:23:29,14.29,75.33,10.00,
124,03/29/2022 20:28:29,14.30,75.65,10.08,
125,03/29/2022 20:33:29,14.22,75.76,10.02,
126,03/29/2022 20:38:29,14.05,75.91,9.88,
127,03/29/2022 20:43:29,13.77,76.97,9.82,
128,03/29/2022 20:48:29,13.65,77.15,9.74,
129,03/29/2022 20:53:29,13.55,77.86,9.78,
130,03/29/2022 20:58:29,13.39,77.82,9.62,
131,03/29/2022 21:03:29,13.17,78.65,9.55,
132,03/29/2022 21:08:29,13.07,78.89,9.51,
133,03/29/2022 21:13:29,12.88,79.25,9.39,
134,03/29/2022 21:18:29,12.70,80.38,9.42,
135,03/29/2022 21:23:29,12.60,80.89,9.42,
136,03/29/2022 21:28:29,12.47,81.17,9.35,
137,03/29/2022 21:33:29,12.41,81.04,9.26,
138,03/29/2022 21:38:29,12.26,81.93,9.27,
139,03/29/2022 21:43:29,12.25,82.03,9.28,
140,03/29/2022 21:48:29,12.18,81.83,9.18,
141,03/29/2022 21:53:29,12.17,82.01,9.20,
142,03/29/2022 21:58:29,12.27,82.39,9.37,
143,03/29/2022 22:03:29,12.37,81.52,9.31,
144,03/29/2022 22:08:29,12.36,81.36,9.27,
145,03/29/2022 22:13:29,12.33,81.17,9.21,
146,03/29/2022 22:18:29,12.21,80.89,9.04,
147,03/29/2022 22:23:29,12.05,81.25,8.95,
148,03/29/2022 22:28:29,11.94,81.96,8.97,
149,03/29/2022 22:33:29,11.94,81.72,8.93,
150,03/29/2022 22:38:29,11.87,81.80,8.87,
151,03/29/2022 22:43:29,11.81,81.72,8.79,
152,03/29/2022 22:48:29,11.74,81.72,8.73,
153,03/29/2022 22:53:29,11.71,81.81,8.72,
154,03/29/2022 22:58:29,11.56,82.36,8.67,
155,03/29/2022 23:03:29,11.41,83.08,8.65,
156,03/29/2022 23:08:29,11.25,83.51,8.57,
157,03/29/2022 23:13:29,11.12,84.46,8.61,
158,03/29/2022 23:18:29,11.04,84.90,8.61,
159,03/29/2022 23:23:29,11.01,84.63,8.54,
160,03/29/2022 23:28:29,10.98,85.01,8.57,
161,03/29/2022 23:33:29,10.96,84.53,8.46,
162,03/29/2022 23:38:29,10.83,84.59,8.35,
163,03/29/2022 23:43:29,10.69,85.73,8.41,
164,03/29/2022 23:48:29,10.55,85.18,8.18,
165,03/29/2022 23:53:29,10.39,86.64,8.27,
166,03/29/2022 23:58:29,10.40,87.05,8.35,
167,03/30/2022 00:03:29,10.36,87.37,8.36,
168,03/30/2022 00:08:29,10.31,86.86,8.23,
169,03/30/2022 00:13:29,10.26,87.38,8.27,
170,03/30/2022 00:18:29,10.25,87.40,8.26,
171,03/30/2022 00:23:29,10.29,87.55,8.33,
172,03/30/2022 00:28:29,10.34,86.67,8.22,
173,03/30/2022 00:33:29,10.29,86.68,8.18,
174,03/30/2022 00:38:29,10.21,87.31,8.20,
175,03/30/2022 00:43:29,10.18,86.68,8.06,
176,03/30/2022 00:48:29,10.16,86.33,7.99,
177,03/30/2022 00:53:29,10.05,86.60,7.93,
178,03/30/2022 00:58:29,9.91,87.16,7.88,
179,03/30/2022 01:03:29,9.89,87.30,7.88,
180,03/30/2022 01:08:29,9.82,87.68,7.89,
181,03/30/2022 01:13:29,9.78,87.51,7.81,
182,03/30/2022 01:18:29,9.71,87.79,7.80,
183,03/30/2022 01:23:29,9.63,87.79,7.71,
184,03/30/2022 01:28:29,9.63,88.15,7.77,
185,03/30/2022 01:33:29,9.49,88.52,7.70,
186,03/30/2022 01:38:29,9.47,88.76,7.72,
187,03/30/2022 01:43:29,9.42,89.08,7.73,
188,03/30/2022 01:48:29,9.38,89.27,7.71,
189,03/30/2022 01:53:29,9.35,88.59,7.57,
190,03/30/2022 01:58:29,9.26,88.89,7.54,
191,03/30/2022 02:03:29,9.19,89.06,7.49,
192,03/30/2022 02:08:29,9.20,89.57,7.58,
193,03/30/2022 02:13:29,9.19,89.20,7.51,
194,03/30/2022 02:18:29,9.16,89.44,7.52,
195,03/30/2022 02:23:29,9.08,89.11,7.39,
196,03/30/2022 02:28:29,8.89,89.59,7.28,
197,03/30/2022 02:33:29,8.98,90.02,7.45,
198,03/30/2022 02:38:29,8.89,89.83,7.32,
199,03/30/2022 02:43:29,8.86,89.60,7.25,
200,03/30/2022 02:48:29,8.86,90.47,7.39,
201,03/30/2022 02:53:29,8.85,90.14,7.33,
202,03/30/2022 02:58:29,8.76,90.15,7.24,
203,03/30/2022 03:03:29,8.66,90.28,7.17,
204,03/30/2022 03:08:29,8.58,90.01,7.04,
205,03/30/2022 03:13:29,8.43,90.47,6.97,
206,03/30/2022 03:18:29,8.37,90.58,6.93,
207,03/30/2022 03:23:29,8.36,91.53,7.07,
208,03/30/2022 03:28:29,8.55,92.18,7.36,
209,03/30/2022 03:33:29,8.57,91.14,7.21,
210,03/30/2022 03:38:29,8.60,92.20,7.41,
211,03/30/2022 03:43:29,8.74,92.08,7.53,
212,03/30/2022 03:48:29,8.78,91.70,7.51,
213,03/30/2022 03:53:29,8.81,91.63,7.54,
214,03/30/2022 03:58:29,8.81,91.28,7.48,
215,03/30/2022 04:03:29,8.81,91.76,7.56,
216,03/30/2022 04:08:29,8.78,90.87,7.38,
217,03/30/2022 04:13:29,8.72,91.52,7.42,
218,03/30/2022 04:18:29,8.76,91.31,7.43,
219,03/30/2022 04:23:29,8.71,91.69,7.44,
220,03/30/2022 04:28:29,8.62,92.00,7.40,
221,03/30/2022 04:33:29,8.63,91.94,7.40,
222,03/30/2022 04:38:29,8.63,91.50,7.33,
223,03/30/2022 04:43:29,8.60,91.75,7.34,
224,03/30/2022 04:48:29,8.59,91.89,7.35,
225,03/30/2022 04:53:29,8.58,92.23,7.40,
226,03/30/2022 04:58:29,8.63,92.08,7.43,
227,03/30/2022 05:03:29,8.68,92.10,7.48,
228,03/30/2022 05:08:29,8.73,92.02,7.51,
229,03/30/2022 05:13:29,8.71,91.84,7.46,
230,03/30/2022 05:18:29,8.65,91.37,7.33,
231,03/30/2022 05:23:29,8.59,91.60,7.31,
232,03/30/2022 05:28:29,8.55,91.47,7.24,
233,03/30/2022 05:33:29,8.47,91.10,7.11,
234,03/30/2022 05:38:29,8.33,91.32,7.01,
235,03/30/2022 05:43:29,8.24,91.54,6.96,
236,03/30/2022 05:48:29,8.23,91.75,6.98,
237,03/30/2022 05:53:29,8.16,92.04,6.95,
238,03/30/2022 05:58:29,8.12,91.80,6.87,
239,03/30/2022 06:03:29,8.12,92.57,6.99,
240,03/30/2022 06:08:29,8.08,92.05,6.88,
241,03/30/2022 06:13:29,8.03,91.84,6.79,
242,03/30/2022 06:18:29,8.01,92.04,6.80,
243,03/30/2022 06:23:29,7.87,91.57,6.59,
244,03/30/2022 06:28:29,7.76,92.93,6.70,
245,03/30/2022 06:33:29,7.89,93.25,6.88,
246,03/30/2022 06:38:29,7.90,93.27,6.89,
247,03/30/2022 06:43:29,7.98,93.22,6.96,
248,03/30/2022 06:48:29,7.96,92.99,6.90,
249,03/30/2022 06:53:29,7.82,92.53,6.69,
250,03/30/2022 06:58:29,7.83,92.82,6.74,
251,03/30/2022 07:03:29,7.72,92.13,6.53,
252,03/30/2022 07:08:29,7.55,91.30,6.23,
253,03/30/2022 07:13:29,7.41,90.67,5.99,
254,03/30/2022 07:18:29,7.20,90.16,5.71,
255,03/30/2022 07:23:29,7.04,90.26,5.56,
256,03/30/2022 07:28:29,6.89,90.42,5.44,
257,03/30/2022 07:33:29,6.93,90.85,5.54,
258,03/30/2022 07:38:29,7.09,91.97,5.88,
259,03/30/2022 07:43:29,7.40,92.10,6.21,
260,03/30/2022 07:48:29,7.63,92.08,6.44,
261,03/30/2022 07:53:29,7.89,92.29,6.72,
262,03/30/2022 07:58:29,8.29,93.17,7.26,
263,03/30/2022 08:03:29,8.46,92.71,7.36,
264,03/30/2022 08:08:29,8.56,93.38,7.56,
265,03/30/2022 08:13:29,8.66,93.22,7.64,
266,03/30/2022 08:18:29,8.79,93.24,7.77,
267,03/30/2022 08:23:29,9.02,93.93,8.10,
268,03/30/2022 08:28:29,9.10,92.72,8.00,
269,03/30/2022 08:33:29,9.19,92.73,8.08,
270,03/30/2022 08:38:29,9.38,92.75,8.28,
271,03/30/2022 08:43:29,9.45,92.20,8.25,
272,03/30/2022 08:48:29,9.39,91.95,8.16,
273,03/30/2022 08:53:29,9.59,91.86,8.34,
274,03/30/2022 08:58:29,9.72,91.15,8.36,
275,03/30/2022 09:03:29,9.91,90.92,8.50,
276,03/30/2022 09:08:29,10.10,90.07,8.56,
277,03/30/2022 09:13:29,10.28,90.52,8.81,
278,03/30/2022 09:18:29,10.36,89.51,8.72,
279,03/30/2022 09:23:29,10.35,90.02,8.79,
280,03/30/2022 09:28:29,10.55,90.74,9.11,
281,03/30/2022 09:33:29,10.66,90.20,9.13,
282,03/30/2022 09:38:29,10.86,88.82,9.10,
283,03/30/2022 09:43:29,10.83,88.45,9.01,
284,03/30/2022 09:48:29,10.95,87.63,8.99,
285,03/30/2022 09:53:29,11.19,87.21,9.16,
286,03/30/2022 09:58:29,11.31,88.08,9.42,
287,03/30/2022 10:03:29,11.30,88.41,9.47,
288,03/30/2022 10:08:29,11.37,88.23,9.50,
289,03/30/2022 10:13:29,11.44,86.17,9.22,
290,03/30/2022 10:18:29,11.62,85.87,9.35,
291,03/30/2022 10:23:29,11.75,88.07,9.85,
292,03/30/2022 10:28:29,11.89,84.92,9.45,
293,03/30/2022 10:33:29,12.06,84.91,9.62,
294,03/30/2022 10:38:29,12.30,84.57,9.79,
295,03/30/2022 10:43:29,12.72,87.09,10.64,
296,03/30/2022 10:48:29,13.22,82.19,10.26,
297,03/30/2022 10:53:29,13.33,82.55,10.44,
298,03/30/2022 10:58:29,13.44,81.24,10.30,
299,03/30/2022 11:03:29,13.32,83.40,10.58,
300,03/30/2022 11:08:29,13.26,82.19,10.31,
301,03/30/2022 11:13:29,13.32,81.02,10.14,
302,03/30/2022 11:18:29,13.40,81.22,10.27,
303,03/30/2022 11:23:29,13.61,78.96,10.04,
304,03/30/2022 11:28:29,13.94,77.31,10.05,
305,03/30/2022 11:33:29,14.39,77.12,10.45,
306,03/30/2022 11:38:29,14.54,75.83,10.34,
307,03/30/2022 11:43:29,14.85,74.15,10.31,
308,03/30/2022 11:48:29,15.51,74.69,11.05,
309,03/30/2022 11:53:29,16.10,72.00,11.06,
310,03/30/2022 11:58:29,15.85,70.54,10.52,
311,03/30/2022 12:03:29,15.28,72.34,10.35,
312,03/30/2022 12:08:29,15.01,72.87,10.20,
313,03/30/2022 12:13:29,14.64,74.78,10.23,
314,03/30/2022 12:18:29,14.56,75.37,10.27,
315,03/30/2022 12:23:29,14.68,74.02,10.12,
316,03/30/2022 12:28:29,14.62,75.36,10.32,
317,03/30/2022 12:33:29,14.66,73.47,9.98,
318,03/30/2022 12:38:29,14.69,74.66,10.25,
319,03/30/2022 12:43:29,14.82,74.28,10.30,
320,03/30/2022 12:48:29,15.15,73.45,10.45,
321,03/30/2022 12:53:29,15.41,72.31,10.47,
322,03/30/2022 12:58:29,15.38,70.19,9.99,
323,03/30/2022 13:03:29,15.29,71.78,10.24,
324,03/30/2022 13:08:29,15.14,70.70,9.87,
325,03/30/2022 13:13:29,15.02,73.45,10.33,
326,03/30/2022 13:18:29,15.11,73.80,10.48,
327,03/30/2022 13:23:29,15.11,72.59,10.24,
328,03/30/2022 13:28:29,15.42,70.21,10.04,
329,03/30/2022 13:33:29,15.65,71.74,10.58,
330,03/30/2022 13:38:29,15.67,70.04,10.24,
331,03/30/2022 13:43:29,16.01,69.11,10.37,
332,03/30/2022 13:48:29,16.44,68.33,10.61,
333,03/30/2022 13:53:29,16.65,66.22,10.34,
334,03/30/2022 13:58:29,17.08,64.57,10.37,
335,03/30/2022 14:03:29,17.21,64.79,10.54,
336,03/30/2022 14:08:29,17.34,65.23,10.77,
337,03/30/2022 14:13:29,17.50,64.93,10.85,
338,03/30/2022 14:18:29,17.22,64.08,10.39,
339,03/30/2022 14:23:29,17.31,64.82,10.64,
340,03/30/2022 14:28:29,17.51,62.97,10.40,
341,03/30/2022 14:33:29,17.33,63.26,10.30,
342,03/30/2022 14:38:29,17.30,65.07,10.69,
343,03/30/2022 14:43:29,17.40,62.94,10.29,
344,03/30/2022 14:48:29,17.25,61.97,9.92,
345,03/30/2022 14:53:29,17.25,66.63,11.01,
346,03/30/2022 14:58:29,17.19,63.58,10.24,
347,03/30/2022 15:03:29,16.96,64.01,10.13,
348,03/30/2022 15:08:29,16.80,66.59,10.57,
349,03/30/2022 15:13:29,16.59,66.59,10.36,
350,03/30/2022 15:18:29,16.59,68.11,10.70,
351,03/30/2022 15:23:29,16.49,67.42,10.45,
352,03/30/2022 15:28:29,16.77,65.77,10.35,
353,03/30/2022 15:33:29,16.87,66.47,10.60,
354,03/30/2022 15:38:29,16.90,66.06,10.54,
355,03/30/2022 15:43:29,16.64,66.87,10.48,
356,03/30/2022 15:48:29,16.92,67.80,10.95,
357,03/30/2022 15:53:29,17.24,65.44,10.72,
358,03/30/2022 15:58:29,17.37,62.91,10.25,
359,03/30/2022 16:03:29,17.58,64.34,10.78,
360,03/30/2022 16:08:29,17.63,63.47,10.63,
361,03/30/2022 16:13:29,17.54,66.22,11.19,
362,03/30/2022 16:18:29,17.49,64.98,10.85,
363,03/30/2022 16:23:29,17.33,64.95,10.69,
364,03/30/2022 16:28:29,17.35,65.30,10.79,
365,03/30/2022 16:33:29,17.58,63.93,10.69,
366,03/30/2022 16:38:29,17.46,66.18,11.10,
367,03/30/2022 16:43:29,17.44,65.18,10.85,
368,03/30/2022 16:48:29,17.08,66.31,10.77,
369,03/30/2022 16:53:29,16.94,67.88,10.99,
370,03/30/2022 16:58:29,16.90,69.21,11.24,
371,03/30/2022 17:03:29,16.85,68.53,11.04,
372,03/30/2022 17:08:29,16.86,69.22,11.20,
373,03/30/2022 17:13:29,17.06,69.43,11.44,
374,03/30/2022 17:18:29,16.87,70.26,11.44,
375,03/30/2022 17:23:29,16.65,70.95,11.38,
376,03/30/2022 17:28:29,16.59,71.00,11.33,
377,03/30/2022 17:33:29,16.55,69.82,11.03,
378,03/30/2022 17:38:29,16.54,70.71,11.21,
379,03/30/2022 17:43:29,16.37,72.04,11.34,
380,03/30/2022 17:48:29,16.28,71.91,11.22,
381,03/30/2022 17:53:29,16.03,71.44,10.88,
382,03/30/2022 17:58:29,15.85,73.74,11.19,
383,03/30/2022 18:03:29,15.67,72.69,10.79,
384,03/30/2022 18:08:29,15.42,74.24,10.87,
385,03/30/2022 18:13:29,15.24,75.02,10.86,
386,03/30/2022 18:18:29,15.18,74.55,10.71,
387,03/30/2022 18:23:29,15.12,74.76,10.69,
388,03/30/2022 18:28:29,14.97,74.70,10.53,
389,03/30/2022 18:33:29,14.87,76.02,10.70,
390,03/30/2022 18:38:29,14.78,75.90,10.58,
391,03/30/2022 18:43:29,14.73,76.23,10.61,
392,03/30/2022 18:48:29,14.58,76.28,10.47,
393,03/30/2022 18:53:29,14.35,77.65,10.51,
394,03/30/2022 18:58:29,14.26,77.20,10.34,
395,03/30/2022 19:03:29,14.18,77.53,10.32,
396,03/30/2022 19:08:29,14.10,78.25,10.39,
397,03/30/2022 19:13:29,14.03,79.18,10.49,
398,03/30/2022 19:18:29,13.93,80.27,10.60,
399,03/30/2022 19:23:29,13.83,80.25,10.50,
400,03/30/2022 19:28:29,13.64,81.17,10.49,
401,03/30/2022 19:33:29,13.34,81.41,10.24,
402,03/30/2022 19:38:29,13.12,82.51,10.23,
403,03/30/2022 19:43:29,12.89,83.11,10.11,
404,03/30/2022 19:48:29,12.51,84.19,9.93,
405,03/30/2022 19:53:29,12.14,85.79,9.84,
406,03/30/2022 19:58:29,11.87,86.15,9.64,
407,03/30/2022 20:03:29,11.61,86.70,9.48,
408,03/30/2022 20:08:29,11.37,88.91,9.62,
409,03/30/2022 20:13:29,11.16,88.06,9.27,
410,03/30/2022 20:18:29,10.86,89.63,9.24,
411,03/30/2022 20:23:29,10.81,90.97,9.40,
412,03/30/2022 20:28:29,10.62,90.31,9.11,
413,03/30/2022 20:33:29,10.51,91.13,9.13,
414,03/30/2022 20:38:29,10.34,90.78,8.91,
415,03/30/2022 20:43:29,9.75,89.52,8.12,
416,03/30/2022 20:48:29,9.90,92.72,8.78,
417,03/30/2022 20:53:29,9.93,93.10,8.88,
418,03/30/2022 20:58:29,9.77,92.19,8.57,
419,03/30/2022 21:03:29,9.65,92.23,8.46,
420,03/30/2022 21:08:29,9.57,92.65,8.45,
421,03/30/2022 21:13:29,9.54,93.14,8.50,
422,03/30/2022 21:18:29,9.59,93.21,8.55,
423,03/30/2022 21:23:29,9.67,93.37,8.66,
424,03/30/2022 21:28:29,9.39,92.54,8.25,
425,03/30/2022 21:33:29,9.21,92.46,8.06,
426,03/30/2022 21:38:29,8.81,91.78,7.56,
427,03/30/2022 21:43:29,8.57,91.99,7.35,
428,03/30/2022 21:48:29,8.37,92.54,7.24,
429,03/30/2022 21:53:29,8.30,93.23,7.28,
430,03/30/2022 21:58:29,8.28,93.71,7.33,
431,03/30/2022 22:03:29,8.55,94.69,7.75,
432,03/30/2022 22:08:29,8.77,94.51,7.95,
433,03/30/2022 22:13:29,8.68,94.06,7.79,
434,03/30/2022 22:18:29,8.43,93.24,7.41,
435,03/30/2022 22:23:29,8.12,93.08,7.07,
436,03/30/2022 22:28:29,7.96,93.08,6.91,
437,03/30/2022 22:33:29,7.93,93.79,7.00,
438,03/30/2022 22:38:29,8.05,94.42,7.22,
439,03/30/2022 22:43:29,7.72,93.85,6.80,
440,03/30/2022 22:48:29,7.55,94.45,6.72,
441,03/30/2022 22:53:29,7.82,94.24,6.96,
442,03/30/2022 22:58:29,7.71,94.32,6.86,
443,03/30/2022 23:03:29,8.00,95.01,7.26,
444,03/30/2022 23:08:29,8.12,94.82,7.34,
445,03/30/2022 23:13:29,8.19,94.70,7.40,
446,03/30/2022 23:18:29,8.36,95.05,7.62,
447,03/30/2022 23:23:29,8.63,95.35,7.94,
448,03/30/2022 23:28:29,8.85,95.38,8.16,
449,03/30/2022 23:33:29,9.05,95.34,8.35,
450,03/30/2022 23:38:29,9.20,95.45,8.52,
451,03/30/2022 23:43:29,9.41,95.30,8.71,
452,03/30/2022 23:48:29,9.54,95.25,8.83,
453,03/30/2022 23:53:29,9.67,95.16,8.94,
454,03/30/2022 23:58:29,9.79,95.11,9.05,
455,03/31/2022 00:03:29,9.93,95.06,9.19,
456,03/31/2022 00:08:29,10.01,94.94,9.25,
457,03/31/2022 00:13:29,10.16,95.00,9.41,
458,03/31/2022 00:18:29,10.33,95.10,9.59,
459,03/31/2022 00:23:29,10.41,94.84,9.63,
460,03/31/2022 00:28:29,10.46,94.66,9.66,
461,03/31/2022 00:33:29,10.49,94.43,9.64,
462,03/31/2022 00:38:29,10.54,94.23,9.66,
463,03/31/2022 00:43:29,10.56,94.25,9.69,
464,03/31/2022 00:48:29,10.65,94.15,9.76,
465,03/31/2022 00:53:29,10.69,94.12,9.79,
466,03/31/2022 00:58:29,10.74,94.05,9.84,
467,03/31/2022 01:03:29,10.77,93.86,9.83,
468,03/31/2022 01:08:29,10.78,93.43,9.77,
469,03/31/2022 01:13:29,10.63,92.88,9.53,
470,03/31/2022 01:18:29,10.49,92.77,9.38,
471,03/31/2022 01:23:29,10.39,92.93,9.31,
472,03/31/2022 01:28:29,10.28,92.62,9.15,
473,03/31/2022 01:33:29,10.07,92.27,8.88,
474,03/31/2022 01:38:29,9.94,92.46,8.78,
475,03/31/2022 01:43:29,9.80,92.39,8.63,
476,03/31/2022 01:48:29,9.83,92.86,8.74,
477,03/31/2022 01:53:29,9.90,93.12,8.85,
478,03/31/2022 01:58:29,9.84,92.76,8.74,
479,03/31/2022 02:03:29,9.88,93.18,8.84,
480,03/31/2022 02:08:29,9.83,93.11,8.78,
481,03/31/2022 02:13:29,9.82,92.81,8.72,
482,03/31/2022 02:18:29,9.76,93.33,8.74,
483,03/31/2022 02:23:29,9.59,92.96,8.51,
484,03/31/2022 02:28:29,9.47,93.26,8.44,
485,03/31/2022 02:33:29,9.02,92.19,7.83,
486,03/31/2022 02:38:29,8.89,93.70,7.94,
487,03/31/2022 02:43:29,8.59,93.07,7.54,
488,03/31/2022 02:48:29,8.49,94.02,7.59,
489,03/31/2022 02:53:29,8.58,94.88,7.81,
490,03/31/2022 02:58:29,8.73,95.15,8.00,
491,03/31/2022 03:03:29,8.64,94.32,7.79,
492,03/31/2022 03:08:29,8.41,93.81,7.47,
493,03/31/2022 03:13:29,8.26,93.91,7.34,
494,03/31/2022 03:18:29,8.06,93.76,7.13,
495,03/31/2022 03:23:29,7.72,92.38,6.57,
496,03/31/2022 03:28:29,7.45,93.06,6.41,
